Season,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,playerid
2016,Danny Duffy,Royals,179.2,95.5,,,95.1,85.7,84,80.5,,,,3542
2016,Aaron Sanchez,Blue Jays,192,95.5,93.9,,95.4,89,83.7,78.8,,,,11490
2008,Ervin Santana,Angels,219,95.5,,,,87,84.6,,,,,3200
2018,Justin Verlander,Astros,214,95.4,92,,,87.8,86.8,79.8,,,,8700
2007,Daniel Cabrera,Orioles,204.1,95.4,,,95.8,85.9,83.3,,,,,1931
2018,Nick Pivetta,Phillies,164,95.4,89.4,,95.3,87.7,85.2,80.6,,,,15454
2011,Michael Pineda,Mariners,171,95.4,,,94.8,88.3,84.7,,,,,5372
2007,Jake Peavy,Padres,223.1,95.4,88.5,,95.9,86.1,83.9,76.9,,,,1051
2018,Jon Gray,Rockies,172.1,95.3,,,,87,88.4,80.2,,,,14916
2017,Kevin Gausman,Orioles,186.2,95.3,,85.4,,88.3,83.1,,,,,14107
2017,German Marquez,Rockies,162,95.3,,,94.2,85.9,86.9,80.8,,,,15038
2016,Robbie Ray,Diamondbacks,174.1,95.3,,,94.6,87.7,86.1,82.2,,,,11486
2009,Edwin Jackson,Tigers,214,95.3,,,94.7,85.9,87.2,81.3,,,,1841
2016,Max Scherzer,Nationals,228.1,95.2,89.4,,,86,86.8,78.6,,,,3137
2013,Homer Bailey,Reds,209,95.2,,86.8,94.4,,89.2,80.4,,,,8362
2009,A.J. Burnett,Yankees,207,95.2,,,95,88.7,,82.8,,,,512
2016,Chris Archer,Rays,201.1,95.2,,,,87.5,89,,,,,6345
2008,A.J. Burnett,Blue Jays,221.1,95.2,,,94.8,87.6,86.2,81.8,,,,512
2009,CC Sabathia,Yankees,230,95.1,,,94.5,87.2,82.2,78.6,,,,404
2009,Felix Hernandez,Mariners,238.2,95.1,,,94.4,89.8,86.9,82.5,,,,4772
2012,Matt Moore,Rays,177.1,95.1,,,95,86.3,,82.8,,,,1890
2015,Michael Wacha,Cardinals,181.1,95.1,90.3,,,87.5,,76.7,,,,14078
2011,Edwin Jackson,- - -,199.2,95.1,94.9,,94.9,87.3,87.9,80.9,,,,1841
2015,Shelby Miller,Braves,205.1,95.1,87.9,,94.5,87.2,,78.9,,,,10197
2018,Trevor Bauer,Indians,175.1,95,87.2,,94.9,87.5,82.6,79.6,,,,12703
2012,Max Scherzer,Tigers,187.2,95,,,93.5,86.2,86.8,81.3,,,,3137
2007,Jeremy Guthrie,Orioles,175.1,95,,,94.6,84.7,84.5,75.3,,,,2072
2010,Edwin Jackson,- - -,209.1,95,,,94.3,86.2,86.6,81.1,,,,1841
2015,David Price,- - -,220.1,95,90.1,,94.8,85.8,,80.2,,,,3184
2016,Jeff Samardzija,Giants,203.1,95,93.4,86.1,95.3,87.5,87.1,81,,,,3254
2017,Chris Sale,Red Sox,214.1,95,,,93.1,86.9,80,,,,,10603
2007,Justin Verlander,Tigers,201.2,95,,,,82.9,,80.7,,,,8700
2012,Justin Verlander,Tigers,238.1,95,,,,86.3,84.9,80,,,,8700
2011,Derek Holland,Rangers,198,95,,,94.6,86.2,83.8,76.3,,,,4141
2010,Felix Hernandez,Mariners,249.2,94.9,,,94.3,90.3,86.5,82.8,,,,4772
2015,Jake Arrieta,Cubs,229,94.9,,,95.3,89.7,90.8,81.2,,,,4153
2008,CC Sabathia,- - -,253,94.9,,,94,86.8,81.2,78.1,,,,404
2014,Chris Sale,White Sox,174,94.9,,,93.4,85.4,80.3,,,,,10603
2015,Taijuan Walker,Mariners,169.2,94.9,90.4,89.4,94.2,,,74.7,,,,11836
2010,Mat Latos,Padres,184.2,94.8,,,93.1,84.3,85.1,78.8,,,,3815
2012,Henderson Alvarez,Blue Jays,187.1,94.8,,,93.7,87.6,85.4,,,,,5669
2009,Josh Beckett,Red Sox,212.1,94.8,92.1,,94.6,89.3,,77.8,,,,510
2015,Max Scherzer,Nationals,228.2,94.8,90.2,,,85.4,86.6,80.1,,,,3137
2017,Carlos Carrasco,Indians,200,94.8,,,93.8,88.8,85.6,83.4,,,,6632
2008,Josh Beckett,Red Sox,174.1,94.7,91.7,,94.8,89.2,,77.1,,,,510
2008,Edwin Jackson,Rays,183.1,94.7,,,93.7,86.6,87.2,79.2,,,,1841
2018,Max Scherzer,Nationals,220.2,94.7,88.9,,,84.3,85.5,78.7,,,,3137
2012,Edinson Volquez,Padres,182.2,94.7,,,94.8,84.7,,80.4,,,,3990
2011,CC Sabathia,Yankees,237.1,94.7,,,93.8,87.5,83.1,79.8,,,,404
2007,CC Sabathia,Indians,241,94.7,,,,86.9,82.1,,,,,404
2015,Edinson Volquez,Royals,200.1,94.7,,,94.3,85.2,,81.1,,,,3990
2017,Yu Darvish,- - -,186.2,94.7,89,88.6,93.9,88.4,82.8,73.4,,,,13074
2018,Miles Mikolas,Cardinals,200.2,94.7,,,94.1,89,88.5,78.9,,,,9803
2013,Jordan Zimmermann,Nationals,213.1,94.7,,,,87.9,86.5,78,,,,4505
2010,CC Sabathia,Yankees,237.2,94.7,,,93.9,87.6,82.4,78.2,,,,404
2011,Matt Garza,Cubs,198,94.6,,,94.5,86.3,86.5,76.7,,,,3340
2014,Alfredo Simon,Reds,196.1,94.6,89.2,86.3,95,69.5,,78.2,,,,2155
2008,Tim Lincecum,Giants,227,94.6,,84.3,94.7,,84.2,79.7,,,,5705
2009,Jon Lester,Red Sox,203.1,94.6,89.4,,92.8,85.9,,78.7,,,,4930
2014,Jordan Zimmermann,Nationals,199.2,94.6,,,,87.5,88.1,79.7,,,,4505
2016,Trevor Bauer,Indians,190,94.6,89.9,88.8,94,87.4,86.7,78,,,,12703
2012,Jordan Zimmermann,Nationals,195.2,94.6,,,,87.4,87.1,78.6,,,,4505
2007,Roberto Hernandez,Indians,215,94.6,,,94.7,85.1,84.1,,,,,3273
2014,Corey Kluber,Indians,235.2,94.6,89.6,,94.2,85.9,83.5,,,,,2429
2014,Tyson Ross,Padres,195.2,94.6,,,93.7,87.3,87.2,,,,,7872
2011,Brandon Morrow,Blue Jays,179.1,94.6,,87,92.7,,88.4,82.1,,,,9346
2017,Jimmy Nelson,Brewers,175.1,94.6,,,94.3,88.1,88.9,84.8,,,,10547
2014,Henderson Alvarez,Marlins,187,94.6,90.7,,94.3,89.9,84.4,77.8,60.5,,,5669
2007,Kelvim Escobar,Angels,195.2,94.6,,86.3,,87.8,87,81.7,,,,1298
2017,Jeff Samardzija,Giants,207.2,94.6,92.9,86.1,94.8,87.4,88.8,81.2,,,,3254
2008,Justin Verlander,Tigers,201,94.6,,,,84.5,85.7,81.7,,,,8700
2013,David Price,Rays,186.2,94.6,89.2,,94.5,84.7,,80.4,,,,3184
2013,Derek Holland,Rangers,213,94.6,,,94.4,84.1,83.7,76.8,,,,4141
2007,Roy Oswalt,Astros,212,94.5,,,93.3,84.7,85.7,72.4,,,,571
2017,Luis Perdomo,Padres,163.2,94.5,,87.7,94.4,,,84.8,,,,14682
2008,Edinson Volquez,Reds,196,94.5,,,94.2,83,,79.8,,,,3990
2010,Francisco Liriano,Twins,191.2,94.5,,,94.3,86,86.4,,,,,3201
2017,Robbie Ray,Diamondbacks,162,94.5,,,93.6,85.4,85.1,81.8,,,,11486
2010,Clay Buchholz,Red Sox,173.2,94.4,90.4,,94.3,82.1,,78.7,,,,3543
